cluster_id,cluster_center,support_count,mean_amp,max_amp,unique_windows,unique_signals
9,21.007044455691684,32,0.663065756378258,0.748957386484205,16,2
38,49.72163339524476,31,0.2883843136881494,0.3263422081278994,16,2
40,52.916857437321426,31,0.27082962469632965,0.2959133481616011,16,2
14,24.708520406372063,30,0.41983777971744396,0.579765963106763,15,2
32,40.7428736761277,29,0.311143029425858,0.3868489203488517,15,2
3,14.067286497900586,28,0.9946479592404688,1.0,14,2
15,25.097627416581627,28,0.5543717440107453,0.640097408757962,14,2
20,30.540369339865656,28,0.4340998039406204,0.505533838623021,13,2
24,32.79282105837486,28,0.40662612128721604,0.4823489907871059,14,2
19,30.160258991810313,28,0.3746789135973564,0.48755761649061574,14,2
35,43.441568498232684,28,0.32072342309691265,0.3691920308187569,14,2
36,47.9135353068903,28,0.2957600671773853,0.3375418841133137,14,2
4,14.406383672647905,24,0.7960852982556553,1.0,12,2
2,13.693462498125934,24,0.5496162112127663,0.9091832912890143,12,2
8,20.603294754798593,24,0.40961254331972974,0.5611793256183707,12,2
29,37.698089546761736,24,0.37725567478484034,0.43110085214640553,12,2
28,37.370109872653316,24,0.33309598125464435,0.39782269212695415,12,2
34,43.08583301337514,22,0.288514995341824,0.3466847365040256,12,2
25,33.0917519097575,20,0.39823965884785684,0.4704994642055597,10,2
10,21.340390702740958,18,0.467396393882123,0.6070860146009198,9,2
33,41.069341975230095,18,0.3280595352915626,0.3689616447563961,9,2
41,56.461942581024225,17,0.2512980531473809,0.2807721637307555,11,2
44,60.84057288807796,12,0.2428442225842039,0.26650781382376204,6,2
16,25.37319885576769,11,0.3808961549670353,0.4686002911702261,6,2
5,14.716097981355208,10,0.5150828731010266,0.7381863063133256,5,2
21,30.85252954936854,10,0.3209351803646807,0.3676165185362043,5,2
37,48.21139610091968,10,0.2626170639378776,0.2900421440802436,5,2
30,37.96305888824843,8,0.2870435266523397,0.3514008776459419,4,2
11,21.691656878469953,7,0.33466401135026785,0.4933269871419373,4,2
23,32.387536568978426,7,0.28559640329280794,0.30972338066874405,4,2
42,59.32791293380995,7,0.25322172464498877,0.26711972602373757,4,2
1,13.30199812026506,6,0.3496143816656045,0.42243423150204584,3,2
26,33.35183335983516,6,0.3007853700294048,0.33984732414006275,3,2
17,25.672829295051013,4,0.3291749654943442,0.41358097414421174,2,2
39,49.97769422235679,4,0.27025458370265004,0.2787393234410696,2,2
6,14.967646272863576,2,0.3645049985683437,0.3821507470802054,1,2
7,15.203173583708026,2,0.31453960021648864,0.34739777685356765,1,2
13,24.269438543756838,2,0.29325421341585384,0.31109209887109845,1,2
27,33.60701529030195,2,0.25821360658496173,0.26753223392979875,1,2
22,31.20651419813752,2,0.2531501909363492,0.26491487444948486,1,2
18,29.606180136694572,1,0.25758925114949976,0.25758925114949976,1,1
31,38.242751644707745,1,0.2536238473127509,0.2536238473127509,1,1
12,24.00501092164425,1,0.23213573691948422,0.23213573691948422,1,1
43,59.53116245136509,1,0.22550404522525752,0.22550404522525752,1,1
