series,peak_freq,peak_power
theta_norm_direct,11.476833941883317,4.1709556223873746e-05
theta_norm_direct,14.125334082317929,4.5384566523045135e-05
theta_norm_direct,16.502193182707966,4.773418051366719e-05
theta_norm_direct,18.199949682986563,5.121190687159697e-05
theta_norm_direct,19.76188566324287,5.2680851857318074e-05
theta_norm_direct,21.45964216352147,5.6021062797191856e-05
theta_norm_direct,23.225308923811212,6.365936282343164e-05
theta_norm_direct,24.855155164078663,8.603412600844344e-05
theta_norm_direct,26.34918088432383,0.00012510319447629357
theta_norm_direct,29.54096310484759,0.00013148045124110002
theta_norm_direct,33.07229662542707,0.00014498955337166985
theta_norm_direct,35.24542494578368,0.00017414023097916517
theta_norm_direct,37.82601482620715,0.0002074292796047664
theta_norm_direct,39.32004054645231,0.00030400410088810985
theta_norm_direct,41.35734834678663,0.0004772339476120705
psi_norm_direct,10.661910821749592,4.590992576262072e-05
psi_norm_direct,12.631308362072764,4.8541100731991306e-05
psi_norm_direct,14.125334082317929,5.2859204331989686e-05
psi_norm_direct,16.502193182707966,5.6474246747378614e-05
psi_norm_direct,18.199949682986563,5.7310423736582286e-05
psi_norm_direct,19.55815488320944,5.918059477376161e-05
psi_norm_direct,21.45964216352147,9.197006906874247e-05
psi_norm_direct,23.225308923811212,0.00010909069217065056
psi_norm_direct,24.855155164078663,0.0001281553537902477
psi_norm_direct,26.34918088432383,0.00013332320093711642
psi_norm_direct,29.54096310484759,0.00016148054187127255
psi_norm_direct,33.07229662542707,0.00021618623920874317
psi_norm_direct,35.24542494578368,0.00030940058583145175
psi_norm_direct,37.82601482620715,0.0003233576875601279
psi_norm_direct,41.35734834678663,0.000490538712044604
angle_theta_norm,11.476833941883317,4.1709556223873746e-05
angle_theta_norm,14.125334082317929,4.538456652304512e-05
angle_theta_norm,16.502193182707966,4.773418051366718e-05
angle_theta_norm,18.199949682986563,5.121190687159698e-05
angle_theta_norm,19.76188566324287,5.268085185731805e-05
angle_theta_norm,21.45964216352147,5.602106279719188e-05
angle_theta_norm,23.225308923811212,6.365936282343165e-05
angle_theta_norm,24.855155164078663,8.603412600844344e-05
angle_theta_norm,26.34918088432383,0.00012510319447629355
angle_theta_norm,29.54096310484759,0.00013148045124110002
angle_theta_norm,33.07229662542707,0.00014498955337166985
angle_theta_norm,35.24542494578368,0.0001741402309791652
angle_theta_norm,37.82601482620715,0.00020742927960476634
angle_theta_norm,39.32004054645231,0.00030400410088810985
angle_theta_norm,41.35734834678663,0.0004772339476120705
angle_psi_norm,10.661910821749592,4.5909925762620714e-05
angle_psi_norm,12.631308362072764,4.854110073199132e-05
angle_psi_norm,14.125334082317929,5.2859204331989686e-05
angle_psi_norm,16.502193182707966,5.647424674737865e-05
angle_psi_norm,18.199949682986563,5.731042373658227e-05
angle_psi_norm,19.55815488320944,5.918059477376165e-05
angle_psi_norm,21.45964216352147,9.197006906874248e-05
angle_psi_norm,23.225308923811212,0.00010909069217065058
angle_psi_norm,24.855155164078663,0.00012815535379024774
angle_psi_norm,26.34918088432383,0.0001333232009371165
angle_psi_norm,29.54096310484759,0.00016148054187127255
angle_psi_norm,33.07229662542707,0.00021618623920874314
angle_psi_norm,35.24542494578368,0.00030940058583145175
angle_psi_norm,37.82601482620715,0.0003233576875601279
angle_psi_norm,41.35734834678663,0.000490538712044604
angle_theta_norm_unwrapped,11.476833941883317,4.1709556223873746e-05
angle_theta_norm_unwrapped,14.125334082317929,4.538456652304512e-05
angle_theta_norm_unwrapped,16.502193182707966,4.773418051366718e-05
angle_theta_norm_unwrapped,18.199949682986563,5.121190687159698e-05
angle_theta_norm_unwrapped,19.76188566324287,5.268085185731805e-05
angle_theta_norm_unwrapped,21.45964216352147,5.602106279719188e-05
angle_theta_norm_unwrapped,23.225308923811212,6.365936282343165e-05
angle_theta_norm_unwrapped,24.855155164078663,8.603412600844344e-05
angle_theta_norm_unwrapped,26.34918088432383,0.00012510319447629355
angle_theta_norm_unwrapped,29.54096310484759,0.00013148045124110002
angle_theta_norm_unwrapped,33.07229662542707,0.00014498955337166985
angle_theta_norm_unwrapped,35.24542494578368,0.0001741402309791652
angle_theta_norm_unwrapped,37.82601482620715,0.00020742927960476634
angle_theta_norm_unwrapped,39.32004054645231,0.00030400410088810985
angle_theta_norm_unwrapped,41.35734834678663,0.0004772339476120705
angle_psi_norm_unwrapped,10.661910821749592,4.5909925762620714e-05
angle_psi_norm_unwrapped,12.631308362072764,4.854110073199132e-05
angle_psi_norm_unwrapped,14.125334082317929,5.2859204331989686e-05
angle_psi_norm_unwrapped,16.502193182707966,5.647424674737865e-05
angle_psi_norm_unwrapped,18.199949682986563,5.731042373658227e-05
angle_psi_norm_unwrapped,19.55815488320944,5.918059477376165e-05
angle_psi_norm_unwrapped,21.45964216352147,9.197006906874248e-05
angle_psi_norm_unwrapped,23.225308923811212,0.00010909069217065058
angle_psi_norm_unwrapped,24.855155164078663,0.00012815535379024774
angle_psi_norm_unwrapped,26.34918088432383,0.0001333232009371165
angle_psi_norm_unwrapped,29.54096310484759,0.00016148054187127255
angle_psi_norm_unwrapped,33.07229662542707,0.00021618623920874314
angle_psi_norm_unwrapped,35.24542494578368,0.00030940058583145175
angle_psi_norm_unwrapped,37.82601482620715,0.0003233576875601279
angle_psi_norm_unwrapped,41.35734834678663,0.000490538712044604
