zeta_gamma,nearest_detected_peak,abs_gap
14.1347251417,14.125334082317929,0.009391059382071631
21.0220396388,21.45964216352147,0.4376025247214699
25.0108575801,24.855155164078663,0.15570241602133805
30.4248761259,29.54096310484759,0.8839130210524075
32.9350615877,33.07229662542707,0.13723503772707346
37.5861781588,37.82601482620715,0.23983666740714682
40.9187190121,41.35734834678663,0.438629334686631
43.3270732813,41.35734834678663,1.9697249345133727
48.0051508812,41.35734834678663,6.647802534413373
49.7738324777,41.35734834678663,8.416484130913368
