x_max,signal,mean_abs_gap,median_abs_gap,mean_rel_gap,median_rel_gap
500000,psi_norm,0.1256674054577468,0.1231334752299417,0.0051441808240457,0.0030045479382051
500000,theta_norm,0.1256674054577468,0.1231334752299417,0.0051441808240457,0.0030045479382051
1000000,psi_norm,0.1750625875562766,0.1815616825822016,0.0058989326870861,0.0047932814523849
1000000,theta_norm,0.1750625875562766,0.1815616825822016,0.0058989326870861,0.0047932814523849
1500000,psi_norm,0.1774502861953958,0.2002566389586313,0.005426164950038,0.0050774820869831
1500000,theta_norm,0.1774502861953958,0.2002566389586313,0.005426164950038,0.0050774820869831
2000000,psi_norm,0.1740537998295367,0.1645322687830823,0.0055484709166605,0.0056028192288946
2000000,theta_norm,0.1740537998295367,0.1645322687830823,0.0055484709166605,0.0056028192288946
5000000,psi_norm,0.1378189599410303,0.1164518674268792,0.0042628793348341,0.004242574140401
5000000,theta_norm,0.1378189599410303,0.1164518674268792,0.0042628793348341,0.004242574140401
10000000,psi_norm,0.1421131016717417,0.1121515885374115,0.0053020276820211,0.0034085515040883
10000000,theta_norm,0.1421131016717417,0.1121515885374115,0.0053020276820211,0.0034085515040883
50000000,psi_norm,0.130208327524914,0.1486328128447631,0.0041001761993287,0.0038887692425114
50000000,theta_norm,0.130208327524914,0.1486328128447631,0.0041001761993287,0.0038887692425114
100000000,psi_norm,0.1370375261495159,0.162738162724036,0.0046183948392945,0.0044488938216549
100000000,theta_norm,0.1370375261495159,0.162738162724036,0.0046183948392945,0.0044488938216549
300000000,psi_norm,0.0898640924266851,0.0966831677796022,0.0028853905183975,0.0023959884352834
300000000,theta_norm,0.0898640924266851,0.0966831677796022,0.0028853905183975,0.0023959884352834
500000000,psi_norm,0.1110529454849648,0.1130836870139084,0.0038270720193819,0.0037171215846136
500000000,theta_norm,0.1110529454849648,0.1130836870139084,0.0038270720193819,0.0037171215846136
1000000000,psi_norm,0.1201316433310505,0.1411051116854018,0.0040070983783924,0.0040866593799645
1000000000,theta_norm,0.1201316433310505,0.1411051116854018,0.0040070983783924,0.0040866593799645
3000000000,psi_norm,0.0750147228626818,0.0677132487317563,0.0026490542595547,0.0020960518286367
3000000000,theta_norm,0.0750147228626818,0.0677132487317563,0.0026490542595547,0.0020960518286367
5000000000,psi_norm,0.0852806354480749,0.0836077196048314,0.0029745880871625,0.0019847372972916
5000000000,theta_norm,0.0852806354480749,0.0836077196048314,0.0029745880871625,0.0019847372972916
10000000000,psi_norm,0.0928032924008201,0.1240176393254692,0.0027944897573939,0.0026632341406181
10000000000,theta_norm,0.0928032924008201,0.1240176393254692,0.0027944897573939,0.0026632341406181
30000000000,psi_norm,0.0605487750856233,0.0716021238660537,0.0022589420925767,0.0019475407223214
30000000000,theta_norm,0.0605487750856233,0.0716021238660537,0.0022589420925767,0.0019475407223214
50000000000,psi_norm,0.087142089624539,0.0770489264375608,0.0030933377001599,0.0025431730541855
50000000000,theta_norm,0.0874808741436205,0.0770489264375608,0.0031011569340344,0.0025431730541855
100000000000,psi_norm,0.05305869658119,0.0395390458876363,0.0016196189971159,0.0014883047617162
100000000000,theta_norm,0.05305869658119,0.0395390458876363,0.0016196189971159,0.0014883047617162
