signal,control,lambda1,lambda2,trace,lambda1_share,effective_rank,mean_rel_gap
psi_norm,random_1,3042.401063708512,1.2419887112502574,3044.2533669274117,0.9993915410461485,1.0012178247669166,0.045976373936403754
psi_norm,random_2,0.0041595907395841104,6.058045722907157e-06,0.004167059759808653,0.9982076042449447,1.0035922852562211,0.21106123371616886
psi_norm,random_3,0.006409660390068113,7.543128085938603e-05,0.006492802855353666,0.9871946727572365,1.0259683379405358,0.15246551798141728
psi_norm,shift_down,0.023612766882661063,0.015244987352895997,0.08524537085786335,0.2769976439193699,6.220371309910701,0.0352880356983764
psi_norm,shift_up,0.027877958086568264,0.022333964027768605,0.10503085311409775,0.2654263700617923,6.0951713316754885,0.032169024730720135
psi_norm,true,31369.060327639945,1266.9298943438148,35656.09750520834,0.8797670671350902,1.287581453888035,0.003906518779026225
theta_norm,random_1,3042.357647764217,1.2024768481068875,3044.0775204309894,0.9994350102271611,1.001130754671635,0.04601986696415968
theta_norm,random_2,0.004159590772391284,6.058199314098263e-06,0.004167060217847643,0.9982075023959657,1.0035924899479236,0.2110060174342204
theta_norm,random_3,0.006409662725017491,7.543363195692911e-05,0.006492796430336622,0.987196009267948,1.025965551115038,0.15241644860122516
theta_norm,shift_down,0.023467089668664953,0.015021351148878665,0.08639599366446972,0.27162242915802903,6.2895651585899826,0.03524293389088403
theta_norm,shift_up,0.02794524048427568,0.022344721353524926,0.103810611381281,0.26919445047517304,6.028230115387179,0.03221209158286111
theta_norm,true,31359.19403892143,1266.614429215403,35649.98332885193,0.8796411978555424,1.2879437557834073,0.003906978733960019
